CO2 (ppm),Humidity (%),Light (lux),Motion,Temperature (Deg_Cel),HP_Unit_Mode,HP_CONS (kW),HP_CONS (Wh),HP_CONS_Electricity_kWh,HP_DEL (kW),HP_DEL (Wh),HP_DEL_Electricity_kWh,HP_Defrost,HP_Room_temp (Deg_Cel),HP_Room_temp_Zone2 (Deg_Cel),HP_Ref_liquid_temp (Deg_Cel),HP_Outdoor_ambient_temp (Deg_Cel),HP_Flow_temp (Deg_Cel),HP_Return_temp (Deg_Cel),HP_Tank_water_temp_lower (Deg_Cel),HP_Flow_temp_Zone1 (Deg_Cel),HP_Return_temp_Zone1 (Deg_Cel),HP_Flow_temp_Zone2 (Deg_Cel),HP_Return_temp_Zone2 (Deg_Cel),HP_Flow_temp_Boiler (Deg_Cel),HP_Return_temp_Boiler (Deg_Cel),HP_Room_thermo_1_IN1 (Deg_Cel),HP_Room_thermo_2_IN6 (Deg_Cel),HP_Flow_SW1_IN2 (Deg_Cel),HP_Flow_SW2_IN3 (Deg_Cel),HP_Flow_SW3_IN7 (Deg_Cel),HP_Demand_IN4 (Deg_Cel),HP_Outdoor_thermo_IN5 (Deg_Cel),HP_Flow_rate (L/min),Total_Electricity (kWh),Outdoor_HP_Unit (kWh),Indoor_HP_Unit (kWh),Shower (kWh),Immersion (kWh),Out_Solar (kw_per_m2),Out_Solar (kj_per_m2),Out_WindSpeed (m/s),Out_WindDirection (Deg),Out_Gust_3s (m/s),Out_Pressure (mBar),Out_TotalSolar (W_per_m2),Out_DiffuseSolar (W_per_m2),Out_TotalSolar.Wm2,Out_DiffuseSolar.W/m2
592.0833333333334,68.33333333333333,11.5,0,18.03333333333333,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,22.5,13.0,20.0,20.5,46.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.4533999999999999,0.010825,7.500000000000001e-05,12.76,99.8,0.0,0.0,4.145,119.8,6.25,1014,5.836,4.906
525.6,68.4,23.5,0,17.889999999999997,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,22.35833333333333,13.35,20.0,20.5,45.31666666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.965375,0.01055,2.5e-05,12.86,99.8,0.013,0.796335,2.646,96.5,4.582,1013,101.7,97.5
512.3636363636364,68.9090909090909,31.818181818181817,0,17.818181818181817,0,0,0.0,0.0,0,0.0,0.0,0,17.0,-39,21.916666666666668,13.966666666666669,20.08333333333333,20.5,43.94166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,2.116775,0.010625,0.0,13.33,99.8,0.063,4.061309,2.854,129.9,4.582,1014,460.8,443.5
540.6,68.8,36.3,2,17.830000000000002,0,17,283.3333333333333,0.2833333333333332,114,1900.0,1.9,0,17.175,-39,23.95,14.0,24.266666666666666,22.933333333333334,42.8,25,25,25,25,25,25,0,0,0,0,0,0,0,8.85,1,1,1.504,0.42615,0.0,13.49,99.7,0.083,4.963822,4.668,105.0,6.668,1013,588.5,567.5
510.5,68.3,44.9,0,18.51,2,55,916.6666666666664,0.9166666666666664,299,4983.333333333333,4.983333333333333,0,18.225,-39,41.2,14.033333333333331,45.06666666666667,41.05833333333333,42.5,25,25,25,25,25,25,0,0,0,0,0,0,0,19.016666666666666,1,1,1.4884499999999998,1.36175,0.10445,14.14,99.8,0.07,4.336708,3.25,110.0,4.582,1013,555.5,536.0
473.9,65.8,29.1,0,19.61,2,60,1000.0,0.9999999999999998,270,4500.0,4.499999999999999,0,19.65,-39,46.75833333333333,14.0,49.78333333333333,46.125,42.49166666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,19.016666666666666,1,1,1.8127,1.4792,0.0,14.54,99.9,0.08,4.575608,2.875,129.6,5.832,1012,570.5,550.5
500.27272727272725,65.0,18.727272727272727,0,19.92727272727273,0,7,116.66666666666666,0.1166666666666666,28,466.6666666666666,0.4666666666666666,0,20.23333333333333,-39,31.825,14.733333333333333,41.025,38.79166666666666,42.025,25,25,25,25,25,25,0,0,0,0,0,0,0,1.5833333333333333,1,1,0.3886,0.1387499999999999,2.5e-05,14.68,99.9,0.129,8.338287,6.188,109.6,9.17,1010,903.0,872.0
497.5,65.0,8.833333333333334,1,19.291666666666668,0,0,0.0,0.0,0,0.0,0.0,0,19.73333333333333,-39,25.383333333333333,14.1,28.433333333333334,26.73333333333333,41.93333333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.4267999999999999,0.0107,2.5e-05,14.78,99.9,0.053,3.440827,4.332,112.9,6.668,1009,382.8,368.2
531.5454545454545,65.9090909090909,4.727272727272728,0,18.818181818181817,0,0,0.0,0.0,0,0.0,0.0,0,19.03333333333333,-39,23.566666666666663,14.0,25.183333333333334,22.933333333333334,41.35,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.60005,0.0104999999999999,2.5e-05,14.47,99.8,0.033,2.269555,2.832,105.3,5.832,1008,247.2,238.0
714.4,67.1,20.3,17,18.68,0,0,0.0,0.0,0,0.0,0.0,0,19.0,-39,22.40833333333333,13.5,22.95,22.266666666666666,37.40833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,1.088225,0.0104,0.0,14.27,99.8,0.013,0.796335,5.957,114.7,9.58,1007,90.8,87.1
1202.5,67.3,12.4,14,19.54,1,64,1066.6666666666663,1.0666666666666664,257,4283.333333333333,4.283333333333333,0,18.95,-39,35.15,12.5,36.53333333333333,34.766666666666666,35.90833333333333,25,25,25,25,25,25,0,0,0,0,0,0,0,13.916666666666666,1,0,2.053975,1.4567,0.0,13.8,99.8,0.013,0.6569764,7.375,110.7,12.5,1006,67.7,64.44
1201.6363636363635,66.0909090909091,3.0,12,19.981818181818184,0,0,0.0,0.0,0,0.0,0.0,0,19.0,-39,28.933333333333334,13.0,22.375,25.758333333333333,49.46666666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.3947,0.010825,7.500000000000001e-05,12.88,99.8,0.0,0.0,7.293,105.8,11.25,1005,2.2,1.015
1515.6666666666667,66.58333333333333,2.75,10,19.991666666666667,0,0,0.0,0.0,0,0.0,0.0,0,18.808333333333334,-39,24.691666666666663,13.0,21.7,22.725,49.020833333333336,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.228125,0.010925,2.5e-05,12.25,99.8,0.0,0.0,6.395,113.3,10.42,1005,2.03,1.184
1308.1818181818182,67.0,1.3636363636363635,10,19.827272727272728,0,0,0.0,0.0,0,0.0,0.0,0,18.5,-39,24.3,13.0,21.5,22.5,48.96666666666667,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.268525,0.0109,2.5e-05,12.38,99.8,0.0,0.0,3.207,110.3,5.832,1004,2.03,1.015
1494.75,67.83333333333333,1.25,6,20.075,0,0,0.0,0.0,0,0.0,0.0,0,18.5,-39,23.808333333333334,13.0,21.33333333333333,22.183333333333334,48.55,25,25,25,25,25,25,0,0,0,0,0,0,0,0.0,0,0,0.372575,0.01115,0.0,12.99,99.8,0.0,0.0,2.729,122.0,4.168,1004,2.03,1.015
